Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
125,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,30.0,1995,23.6,,33,,,,,,,,,,14,,,,Matches
126,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,23.0,2002,20.2,,46,,,,,,,,,,25,,,,Matches
127,Juan Arango,ve VEN,MF,Girona,es La Liga,19.0,2006,0.2,,0,,,,,,,,,,0,,,,Matches
128,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26.0,1999,7.3,,5,,,,,,,,,,8,,,,Matches
129,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,29.0,1996,20.1,,27,,,,,,,,,,26,,,,Matches
130,Antonio Arena,it ITA,FW,Roma,it Serie A,17.0,2009,0.1,,0,,,,,,,,,,0,,,,Matches
131,Alphonse Areola,fr FRA,GK,West Ham United,eng Premier League,32.0,1993,20.0,,0,,,,,,,,,,1,,,,Matches
132,Jesús Areso,es ESP,DF,Athletic Club,es La Liga,26.0,1999,14.0,,13,,,,,,,,,,18,,,,Matches
133,Jeremy Arévalo,ec ECU,FW,Stuttgart,de Bundesliga,20.0,2005,0.2,,0,,,,,,,,,,0,,,,Matches
134,Paul Argney,fr FRA,GK,Le Havre,fr Ligue 1,19.0,2006,1.0,,0,,,,,,,,,,0,,,,Matches
135,Iñigo Arguibide,es ESP,DF,Osasuna,es La Liga,20.0,2005,2.0,,3,,,,,,,,,,1,,,,Matches
136,Jhon Arias,co COL,"FW,MF",Wolves,eng Premier League,28.0,1997,12.5,,27,,,,,,,,,,7,,,,Matches
137,Juan Arizala,co COL,MF,Udinese,it Serie A,20.0,2005,0.1,,2,,,,,,,,,,0,,,,Matches
138,Adam Armstrong,eng ENG,"MF,FW",Wolves,eng Premier League,29.0,1997,2.0,,0,,,,,,,,,,0,,,,Matches
139,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,19.0,2007,4.6,,8,,,,,,,,,,4,,,,Matches
140,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,31.0,1994,20.0,,15,,,,,,,,,,24,,,,Matches
141,Tolu Arokodare,ng NGA,FW,Wolves,eng Premier League,25.0,2000,11.4,,2,,,,,,,,,,3,,,,Matches
142,Love Arrhov,se SWE,FW,Eintracht Frankfurt,de Bundesliga,17.0,2008,0.1,,0,,,,,,,,,,0,,,,Matches
143,Kervin Arriaga,hn HON,MF,Levante,es La Liga,28.0,1998,12.3,,18,,,,,,,,,,10,,,,Matches
144,Arthur,br BRA,MF,Leverkusen,de Bundesliga,22.0,2003,10.5,,10,,,,,,,,,,16,,,,Matches
145,Takuma Asano,jp JPN,"MF,FW",Mallorca,es La Liga,31.0,1994,5.4,,2,,,,,,,,,,1,,,,Matches
146,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,23.0,2003,13.0,,9,,,,,,,,,,6,,,,Matches
147,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,de Bundesliga,23.0,2002,15.8,,4,,,,,,,,,,3,,,,Matches
148,Kristjan Asllani,al ALB,MF,Torino,it Serie A,23.0,2002,12.5,,14,,,,,,,,,,12,,,,Matches
149,Joel Asoro,se SWE,FW,Metz,fr Ligue 1,26.0,1999,2.5,,0,,,,,,,,,,0,,,,Matches
150,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,38.0,1987,8.7,,8,,,,,,,,,,9,,,,Matches
151,Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,22.0,2003,6.8,,4,,,,,,,,,,5,,,,Matches
152,Lorenz Assignon,tg TOG,"DF,MF",Stuttgart,de Bundesliga,25.0,2000,6.8,,8,,,,,,,,,,10,,,,Matches
153,Dehmaine Assoumani,fr FRA,MF,Nantes,fr Ligue 1,20.0,2005,9.8,,15,,,,,,,,,,12,,,,Matches
154,Lander Astiazaran,es ESP,MF,Real Sociedad,es La Liga,19.0,2006,0.0,,0,,,,,,,,,,1,,,,Matches
155,Otavio Ataide,br BRA,DF,Paris FC,fr Ligue 1,23.0,2002,18.1,,24,,,,,,,,,,23,,,,Matches
156,Zachary Athekame,ch SUI,MF,Milan,it Serie A,21.0,2004,3.9,,3,,,,,,,,,,3,,,,Matches
