0_level_0_Rk,1_level_0_Player,2_level_0_Nation,3_level_0_Pos,4_level_0_Squad,5_level_0_Comp,6_level_0_Age,7_level_0_Born,8_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,19_level_0_Matches
247,Armel Bella Kotchap,de GER,DF,Hellas Verona,it Serie A,24,2001.0,13.4,0,3,0,0.0,0.22,0.0,0.0,,0,0,Matches
248,Raoul Bellanova,it ITA,"MF,DF",Atalanta,it Serie A,25,2000.0,11.8,0,12,4,33.3,1.02,0.34,0.0,0.0,0,0,Matches
249,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,eng Premier League,27,1998.0,10.0,1,20,7,35.0,2.0,0.7,0.05,0.14,0,0,Matches
250,Héctor Bellerín,es ESP,DF,Real Betis,es La Liga,30,1995.0,12.0,0,3,3,100.0,0.25,0.25,0.0,0.0,0,0,Matches
251,Jobe Bellingham,eng ENG,MF,Dortmund,de Bundesliga,20,2005.0,11.3,0,11,3,27.3,0.97,0.27,0.0,0.0,0,0,Matches
252,Jude Bellingham,eng ENG,MF,Real Madrid,es La Liga,22,2003.0,14.3,4,36,19,52.8,2.51,1.32,0.11,0.21,0,0,Matches
253,Jeanuël Belocian,fr FRA,DF,Wolfsburg,de Bundesliga,21,2005.0,3.0,0,2,0,0.0,0.67,0.0,0.0,,0,0,Matches
254,Jeanuël Belocian,fr FRA,DF,Leverkusen,de Bundesliga,21,2005.0,3.2,0,1,0,0.0,0.31,0.0,0.0,,0,0,Matches
255,Andrea Belotti,it ITA,FW,Cagliari,it Serie A,32,1993.0,2.1,2,6,4,66.7,2.87,1.91,0.17,0.25,1,1,Matches
256,Fran Beltrán,es ESP,MF,Girona,es La Liga,27,1999.0,2.7,1,4,2,50.0,1.46,0.73,0.25,0.5,0,0,Matches
257,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,27,1999.0,5.9,0,6,1,16.7,1.02,0.17,0.0,0.0,0,0,Matches
258,Lucas Beltrán,ar ARG,FW,Valencia,es La Liga,24,2001.0,12.2,1,27,8,29.6,2.21,0.66,0.04,0.13,0,0,Matches
259,Eliesse Ben Seghir,ma MAR,MF,Monaco,fr Ligue 1,21,2005.0,0.5,0,1,0,0.0,2.0,0.0,0.0,,0,0,Matches
260,Eliesse Ben Seghir,ma MAR,MF,Leverkusen,de Bundesliga,21,2005.0,2.2,0,4,1,25.0,1.81,0.45,0.0,0.0,0,0,Matches
261,Carlos Benavídez,uy URU,DF,Alavés,es La Liga,27,1998.0,2.4,0,2,2,100.0,0.85,0.85,0.0,0.0,0,0,Matches
262,Adrian Benedyczak,pl POL,FW,Parma,it Serie A,25,2000.0,5.4,1,8,3,37.5,1.47,0.55,0.0,0.0,1,1,Matches
263,Yassine Benhattab,fr FRA,"MF,FW",Nantes,fr Ligue 1,23,2002.0,5.3,0,4,1,25.0,0.75,0.19,0.0,0.0,0,0,Matches
264,Iker Benito,es ESP,MF,Osasuna,es La Liga,23,2002.0,1.7,1,2,1,50.0,1.2,0.6,0.5,1.0,0,0,Matches
265,Mohamed Benoit Dao,fr FRA,FW,Paris FC,fr Ligue 1,19,2007.0,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
266,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,30,1995.0,11.5,2,9,4,44.4,0.78,0.35,0.22,0.5,0,0,Matches
267,Nabil Bentaleb,dz ALG,MF,Lille,fr Ligue 1,31,1994.0,8.2,2,15,5,33.3,1.83,0.61,0.07,0.2,1,1,Matches
268,Rodrigo Bentancur,uy URU,MF,Tottenham Hotspur,eng Premier League,28,1997.0,15.7,1,9,2,22.2,0.57,0.13,0.11,0.5,0,0,Matches
269,Lucas Beraldo,br BRA,DF,Paris Saint-Germain,fr Ligue 1,22,2003.0,9.1,1,3,1,33.3,0.33,0.11,0.33,1.0,0,0,Matches
270,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,31,1994.0,13.8,7,29,15,51.7,2.1,1.09,0.17,0.33,2,3,Matches
271,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,36,1990.0,20.5,0,14,3,21.4,0.68,0.15,0.0,0.0,0,0,Matches
272,Álex Berenguer,es ESP,MF,Athletic Club,es La Liga,30,1995.0,16.1,2,31,16,51.6,1.93,1.0,0.06,0.13,0,0,Matches
273,Sander Berge,no NOR,MF,Fulham,eng Premier League,28,1998.0,25.0,0,9,3,33.3,0.36,0.12,0.0,0.0,0,0,Matches
274,Lucas Bergström,fi FIN,GK,Mallorca,es La Liga,23,2002.0,5.0,0,0,0,,0.0,0.0,,,0,0,Matches
275,Lucas Bergvall,se SWE,MF,Tottenham Hotspur,eng Premier League,20,2006.0,8.9,1,10,5,50.0,1.12,0.56,0.1,0.2,0,0,Matches
276,Medon Berisha,al ALB,MF,Lecce,it Serie A,22,2003.0,9.7,2,24,5,20.8,2.48,0.52,0.08,0.4,0,0,Matches
277,Anthony Bermont,fr FRA,FW,Lens,fr Ligue 1,21,2005.0,0.7,0,2,1,50.0,2.73,1.36,0.0,0.0,0,0,Matches
278,Adrian Bernabe,es ESP,MF,Parma,it Serie A,24,2001.0,22.5,3,43,10,23.3,1.91,0.45,0.07,0.3,0,0,Matches
279,Marc Bernal,es ESP,MF,Barcelona,es La Liga,18,2007.0,3.0,2,4,2,50.0,1.32,0.66,0.5,1.0,0,0,Matches
280,Gabin Bernardeau,fr FRA,MF,Nice,fr Ligue 1,20,2006.0,0.8,0,1,1,100.0,1.27,1.27,0.0,0.0,0,0,Matches
281,Federico Bernardeschi,it ITA,"MF,FW",Bologna,it Serie A,32,1994.0,7.0,1,19,7,36.8,2.72,1.0,0.05,0.14,0,0,Matches
282,Bernardo,br BRA,DF,Hoffenheim,de Bundesliga,30,1995.0,17.5,0,7,0,0.0,0.4,0.0,0.0,,0,0,Matches
283,Lorenzo Bernasconi,it ITA,MF,Atalanta,it Serie A,22,2003.0,11.6,0,7,1,14.3,0.61,0.09,0.0,0.0,0,0,Matches
284,Antoine Bernede,fr FRA,MF,Hellas Verona,it Serie A,26,1999.0,20.0,1,16,3,18.8,0.8,0.15,0.06,0.33,0,0,Matches
285,Nicolò Bertola,it ITA,"DF,MF",Udinese,it Serie A,22,2003.0,16.5,0,11,3,27.3,0.67,0.18,0.0,0.0,0,0,Matches
286,Jan-Niklas Beste,de GER,MF,Freiburg,de Bundesliga,27,1999.0,13.5,1,17,9,52.9,1.26,0.67,0.06,0.11,0,0,Matches
287,Beto,gw GNB,FW,Everton,eng Premier League,28,1998.0,10.0,3,24,8,33.3,2.41,0.8,0.13,0.38,0,0,Matches
288,Sam Beukema,nl NED,DF,Napoli,it Serie A,27,1998.0,11.7,2,6,3,50.0,0.51,0.26,0.33,0.67,0,0,Matches
