0_level_0_Rk,1_level_0_Player,2_level_0_Nation,3_level_0_Pos,4_level_0_Squad,5_level_0_Comp,6_level_0_Age,7_level_0_Born,8_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,19_level_0_Matches
516,Saúl Coco,gq EQG,DF,Torino,it Serie A,27,1999.0,23.0,1,13,4,30.8,0.57,0.17,0.08,0.25,0,0,Matches
517,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,37,1988.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
518,Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,34,1991.0,12.4,0,6,1,16.7,0.48,0.08,0.0,0.0,0,0,Matches
519,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,24,2001.0,23.1,1,13,5,38.5,0.56,0.22,0.08,0.2,0,0,Matches
520,Nnamdi Collins,de GER,DF,Eintracht Frankfurt,de Bundesliga,22,2004.0,13.0,1,2,1,50.0,0.15,0.08,0.5,1.0,0,0,Matches
521,Michele Collocolo,it ITA,MF,Cremonese,it Serie A,26,1999.0,3.4,0,2,1,50.0,0.58,0.29,0.0,0.0,0,0,Matches
522,Santiago Colombatto,ar ARG,MF,Oviedo,es La Liga,29,1997.0,16.3,0,12,2,16.7,0.74,0.12,0.0,0.0,0,0,Matches
523,Lorenzo Colombo,it ITA,FW,Genoa,it Serie A,23,2002.0,17.6,6,47,20,42.6,2.68,1.14,0.13,0.3,0,1,Matches
524,Eray Cömert,ch SUI,DF,Valencia,es La Liga,28,1998.0,6.3,1,1,1,100.0,0.16,0.16,1.0,1.0,0,0,Matches
525,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,29,1996.0,17.3,3,20,5,25.0,1.16,0.29,0.15,0.6,0,0,Matches
526,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,21,2005.0,15.2,1,9,2,22.2,0.59,0.13,0.11,0.5,0,0,Matches
527,Francisco Conceição,pt POR,"MF,FW",Juventus,it Serie A,23,2002.0,12.9,2,36,13,36.1,2.8,1.01,0.06,0.15,0,0,Matches
528,Christian Conteh,de GER,MF,Heidenheim,de Bundesliga,26,1999.0,1.4,0,3,0,0.0,2.14,0.0,0.0,,0,0,Matches
529,Sirlord Conteh,de GER,"MF,FW",Heidenheim,de Bundesliga,29,1996.0,5.8,2,10,3,30.0,1.71,0.51,0.2,0.67,0,0,Matches
530,Lewis Cook,eng ENG,"MF,DF",Bournemouth,eng Premier League,29,1997.0,9.7,0,3,0,0.0,0.31,0.0,0.0,,0,0,Matches
531,Copete,es ESP,DF,Valencia,es La Liga,26,1999.0,19.5,0,13,0,0.0,0.67,0.0,0.0,,0,0,Matches
532,Diego Coppola,it ITA,DF,Brighton,eng Premier League,22,2003.0,2.2,0,0,0,,0.0,0.0,,,0,0,Matches
533,Diego Coppola,it ITA,DF,Paris FC,fr Ligue 1,22,2003.0,2.0,0,0,0,,0.0,0.0,,,0,0,Matches
534,Francesco Coppola,it ITA,DF,Pisa,it Serie A,20,2005.0,3.0,0,1,0,0.0,0.33,0.0,0.0,,0,0,Matches
535,Francis Coquelin,fr FRA,MF,Nantes,fr Ligue 1,34,1991.0,4.2,0,4,1,25.0,0.95,0.24,0.0,0.0,0,0,Matches
536,Derek Cornelius,ca CAN,"DF,FW",Marseille,fr Ligue 1,28,1997.0,0.6,0,0,0,,0.0,0.0,,,0,0,Matches
537,Maxwel Cornet,ci CIV,MF,Genoa,it Serie A,29,1996.0,1.2,0,4,2,50.0,3.33,1.67,0.0,0.0,0,1,Matches
538,Iván Corralejo,es ESP,MF,Real Betis,es La Liga,18,2007.0,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
539,Félix Correia,pt POR,MF,Lille,fr Ligue 1,25,2001.0,14.8,3,25,5,20.0,1.69,0.34,0.12,0.6,0,0,Matches
540,Thierry Correia,pt POR,"DF,MF",Valencia,es La Liga,26,1999.0,10.8,0,4,1,25.0,0.37,0.09,0.0,0.0,0,0,Matches
541,Paco Cortés,es ESP,FW,Levante,es La Liga,18,2007.0,2.4,0,4,1,25.0,1.67,0.42,0.0,0.0,0,0,Matches
542,Edoardo Corvi,it ITA,GK,Parma,it Serie A,24,2001.0,14.0,0,0,0,,0.0,0.0,,,0,0,Matches
543,Coba da Costa,es ESP,MF,Getafe,es La Liga,23,2002.0,3.9,0,5,1,20.0,1.29,0.26,0.0,0.0,0,0,Matches
544,Danny da Costa,de GER,"DF,MF",Mainz 05,de Bundesliga,32,1993.0,21.4,1,8,4,50.0,0.37,0.19,0.13,0.25,0,0,Matches
545,Samu Costa,pt POR,MF,Mallorca,es La Liga,25,2000.0,18.8,4,20,9,45.0,1.06,0.48,0.2,0.44,0,0,Matches
546,David Costas,es ESP,DF,Oviedo,es La Liga,30,1995.0,15.9,0,1,0,0.0,0.06,0.0,0.0,,0,0,Matches
547,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,26,1999.0,13.4,0,0,0,,0.0,0.0,,,0,0,Matches
548,Vladimír Coufal,cz CZE,"DF,MF",Hoffenheim,de Bundesliga,33,1992.0,22.8,1,17,4,23.5,0.74,0.18,0.06,0.25,0,0,Matches
549,Abdoul Coulibaly,de GER,DF,Werder Bremen,de Bundesliga,18,2007.0,19.2,1,6,1,16.7,0.31,0.05,0.17,1.0,0,0,Matches
550,Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,29,1996.0,20.1,2,15,6,40.0,0.74,0.3,0.13,0.33,0,0,Matches
551,Lasso Coulibaly,ci CIV,MF,Auxerre,fr Ligue 1,23,2002.0,3.2,0,3,0,0.0,0.93,0.0,0.0,,0,0,Matches
552,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,21,2004.0,10.8,3,6,4,66.7,0.55,0.37,0.5,0.75,0,0,Matches
553,Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,22,2003.0,11.8,0,6,2,33.3,0.51,0.17,0.0,0.0,0,0,Matches
554,Woyo Coulibaly,ml MLI,DF,Sassuolo,it Serie A,26,1999.0,4.8,0,3,1,33.3,0.63,0.21,0.0,0.0,0,0,Matches
555,Marius Courcoul,fr FRA,MF,Angers,fr Ligue 1,19,2007.0,3.8,0,2,1,50.0,0.52,0.26,0.0,0.0,0,0,Matches
556,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,33,1992.0,25.0,0,0,0,,0.0,0.0,,,0,0,Matches
557,Yan Couto,br BRA,MF,Dortmund,de Bundesliga,23,2002.0,9.6,1,7,3,42.9,0.73,0.31,0.14,0.33,0,0,Matches
558,Patrice Čović,hr CRO,MF,Werder Bremen,de Bundesliga,18,2007.0,2.9,0,3,1,33.3,1.02,0.34,0.0,0.0,0,0,Matches
559,Nicolas Cozza,fr FRA,DF,Nantes,fr Ligue 1,27,1999.0,15.6,0,3,0,0.0,0.19,0.0,0.0,,0,0,Matches
560,Ben Cremaschi,us USA,MF,Parma,it Serie A,20,2005.0,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
561,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,23,2002.0,23.0,3,29,8,27.6,1.26,0.35,0.1,0.38,0,0,Matches
562,Bryan Cristante,it ITA,MF,Roma,it Serie A,30,1995.0,23.4,2,31,8,25.8,1.32,0.34,0.06,0.25,0,0,Matches
563,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,33,1992.0,6.4,0,1,0,0.0,0.16,0.0,0.0,,0,0,Matches
564,Juan Cuadrado,co COL,MF,Pisa,it Serie A,37,1988.0,3.6,1,6,2,33.3,1.65,0.55,0.0,0.0,1,1,Matches
565,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,19,2007.0,19.4,1,9,2,22.2,0.46,0.1,0.11,0.5,0,0,Matches
566,Cucho,co COL,FW,Real Betis,es La Liga,26,1999.0,18.8,8,58,15,25.9,3.09,0.8,0.12,0.47,1,1,Matches
567,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,27,1998.0,20.9,1,15,4,26.7,0.72,0.19,0.07,0.25,0,0,Matches
568,Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,26,1999.0,10.4,0,1,0,0.0,0.1,0.0,0.0,,0,0,Matches
569,Montrell Culbreath,de GER,FW,Leverkusen,de Bundesliga,18,2007.0,0.2,1,1,1,100.0,6.43,6.43,1.0,1.0,0,0,Matches
570,Josh Cullen,ie IRL,MF,Burnley,eng Premier League,29,1996.0,16.8,2,11,6,54.5,0.65,0.36,0.18,0.33,0,0,Matches
571,Pablo Cuñat,es ESP,GK,Levante,es La Liga,23,2002.0,2.0,0,0,0,,0.0,0.0,,,0,0,Matches
572,Jair Cunha,br BRA,DF,Nottingham Forest,eng Premier League,20,2005.0,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
573,Matheus Cunha,br BRA,"MF,FW",Manchester Utd,eng Premier League,26,1999.0,18.1,6,62,24,38.7,3.43,1.33,0.1,0.25,0,0,Matches
574,Patrick Cutrone,it ITA,FW,Parma,it Serie A,28,1998.0,9.9,1,25,7,28.0,2.53,0.71,0.04,0.14,0,0,Matches
575,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,24,2001.0,19.6,2,24,9,37.5,1.22,0.46,0.0,0.0,2,2,Matches
576,Adam Daghim,dk DEN,MF,Wolfsburg,de Bundesliga,20,2005.0,10.6,2,17,5,29.4,1.6,0.47,0.12,0.4,0,0,Matches
577,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,27,1998.0,23.0,0,0,0,,0.0,0.0,,,0,0,Matches
578,Mahmoud Dahoud,de GER,"MF,FW",Eintracht Frankfurt,de Bundesliga,30,1996.0,7.0,2,15,2,13.3,2.15,0.29,0.13,1.0,0,0,Matches
579,David Daiber,pt POR,FW,Bayern Munich,de Bundesliga,19,2007.0,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
580,Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,23,2002.0,4.0,0,1,0,0.0,0.25,0.0,0.0,,0,0,Matches
581,Thijs Dallinga,nl NED,FW,Bologna,it Serie A,25,2000.0,7.8,1,22,4,18.2,2.82,0.51,0.05,0.25,0,0,Matches
582,Diogo Dalot,pt POR,"MF,DF",Manchester Utd,eng Premier League,26,1999.0,20.5,1,16,4,25.0,0.78,0.2,0.06,0.25,0,0,Matches
583,Muhammed Damar,de GER,"MF,FW",Hoffenheim,de Bundesliga,21,2004.0,2.8,0,11,7,63.6,3.87,2.46,0.0,0.0,0,0,Matches
584,Mikkel Damsgaard,dk DEN,MF,Brentford,eng Premier League,25,2000.0,14.7,1,15,7,46.7,1.02,0.48,0.07,0.14,0,0,Matches
585,Arnaut Danjuma,nl NED,"MF,FW",Valencia,es La Liga,29,1997.0,16.1,3,32,13,40.6,1.99,0.81,0.09,0.23,0,1,Matches
586,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,21,2004.0,20.5,2,20,6,30.0,0.98,0.29,0.1,0.33,0,0,Matches
587,Kevin Danso,at AUT,DF,Tottenham Hotspur,eng Premier League,27,1998.0,7.4,0,1,0,0.0,0.14,0.0,0.0,,0,0,Matches
588,Dante,br BRA,DF,Nice,fr Ligue 1,42,1983.0,5.5,0,4,1,25.0,0.73,0.18,0.0,0.0,0,0,Matches
589,Bence Dárdai,hu HUN,MF,Wolfsburg,de Bundesliga,20,2006.0,0.4,0,0,0,,0.0,0.0,,,0,0,Matches
590,Aiman Dardari,lu LUX,MF,Augsburg,de Bundesliga,20,2005.0,0.4,0,1,0,0.0,2.65,0.0,0.0,,0,0,Matches
591,Sergi Darder,es ESP,MF,Mallorca,es La Liga,32,1993.0,19.4,1,27,8,29.6,1.39,0.41,0.04,0.13,0,0,Matches
592,Karl Darlow,wls WAL,GK,Leeds United,eng Premier League,35,1990.0,11.0,0,0,0,,0.0,0.0,,,0,0,Matches
593,Matteo Darmian,it ITA,"DF,MF",Inter,it Serie A,36,1989.0,0.8,0,0,0,,0.0,0.0,,,0,0,Matches
594,David Datro Fofana,ci CIV,FW,Strasbourg,fr Ligue 1,23,2002.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
595,Juan David Cabal,co COL,MF,Juventus,it Serie A,25,2001.0,3.3,2,5,2,40.0,1.52,0.61,0.4,1.0,0,0,Matches
596,Jonathan David,ca CAN,FW,Juventus,it Serie A,26,2000.0,14.6,5,32,15,46.9,2.19,1.03,0.16,0.33,0,1,Matches
597,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,25,2000.0,4.0,0,2,0,0.0,0.5,0.0,0.0,,0,0,Matches
598,Ben Davies,wls WAL,DF,Tottenham Hotspur,eng Premier League,32,1993.0,1.5,1,2,2,100.0,1.31,1.31,0.5,0.5,0,0,Matches
599,Davinchi,es ESP,DF,Getafe,es La Liga,18,2007.0,4.8,0,3,1,33.3,0.63,0.21,0.0,0.0,0,0,Matches
600,Keinan Davis,eng ENG,FW,Udinese,it Serie A,28,1998.0,16.6,7,37,15,40.5,2.23,0.9,0.11,0.27,3,3,Matches
601,Kevin De Bruyne,be BEL,MF,Napoli,it Serie A,34,1991.0,6.3,4,16,7,43.8,2.54,1.11,0.06,0.14,3,3,Matches
602,Mathys De Carvalho,fr FRA,MF,Lyon,fr Ligue 1,20,2005.0,3.2,0,7,2,28.6,2.19,0.62,0.0,0.0,0,0,Matches
603,Maxim De Cuyper,be BEL,"DF,MF",Brighton,eng Premier League,25,2000.0,12.6,2,11,6,54.5,0.87,0.48,0.18,0.33,0,0,Matches
604,Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,24,2001.0,17.1,3,35,14,40.0,2.05,0.82,0.09,0.21,0,0,Matches
605,Jeffrey De Lange,nl NED,GK,Marseille,fr Ligue 1,27,1998.0,4.0,0,0,0,,0.0,0.0,,,0,0,Matches
606,Manuel De Luca,it ITA,FW,Cremonese,it Serie A,27,1998.0,0.2,1,2,2,100.0,11.25,11.25,0.0,0.0,1,1,Matches
607,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,25,2001.0,2.5,0,0,0,,0.0,0.0,,,0,0,Matches
608,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,37,1988.0,3.0,0,0,0,,0.0,0.0,,,0,0,Matches
609,Thibault De Smet,be BEL,DF,Paris FC,fr Ligue 1,27,1998.0,10.8,0,4,0,0.0,0.37,0.0,0.0,,0,0,Matches
610,Koni De Winter,be BEL,DF,Milan,it Serie A,23,2002.0,13.2,1,5,1,20.0,0.38,0.08,0.2,1.0,0,0,Matches
611,Alessandro Deiola,it ITA,"MF,DF",Cagliari,it Serie A,30,1995.0,10.6,0,6,3,50.0,0.56,0.28,0.0,0.0,0,0,Matches
612,Romain Del Castillo,fr FRA,"MF,FW",Brest,fr Ligue 1,29,1996.0,19.1,7,22,10,45.5,1.15,0.52,0.05,0.1,6,8,Matches
613,Enrico Del Prato,it ITA,DF,Parma,it Serie A,26,1999.0,23.6,1,14,7,50.0,0.59,0.3,0.07,0.14,0,0,Matches
614,Thomas Delaine,fr FRA,"MF,DF",Le Havre,fr Ligue 1,33,1992.0,2.2,0,3,0,0.0,1.34,0.0,0.0,,0,0,Matches
615,Liam Delap,eng ENG,FW,Chelsea,eng Premier League,23,2003.0,8.1,1,27,10,37.0,3.34,1.24,0.04,0.1,0,0,Matches
616,Fisayo Dele-Bashiru,ng NGA,MF,Lazio,it Serie A,25,2001.0,5.0,0,2,0,0.0,0.4,0.0,0.0,,0,0,Matches
617,Olivier Deman,be BEL,MF,Werder Bremen,de Bundesliga,25,2000.0,2.9,0,3,1,33.3,1.02,0.34,0.0,0.0,0,0,Matches
618,Pape Demba Diop,sn SEN,MF,Toulouse,fr Ligue 1,22,2003.0,5.7,1,19,9,47.4,3.32,1.57,0.05,0.11,0,0,Matches
619,Ali Dembélé,fr FRA,DF,Torino,it Serie A,22,2004.0,0.2,0,1,0,0.0,4.29,0.0,0.0,,0,0,Matches
620,Ousmane Dembélé,fr FRA,FW,Paris Saint-Germain,fr Ligue 1,28,1997.0,7.6,8,27,12,44.4,3.53,1.57,0.22,0.5,2,3,Matches
621,Jessy Deminguet,fr FRA,MF,Metz,fr Ligue 1,28,1998.0,14.6,1,8,3,37.5,0.55,0.21,0.13,0.33,0,0,Matches
622,Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,27,1998.0,10.1,7,19,11,57.9,1.89,1.09,0.32,0.55,1,1,Matches
623,Rav van den Berg,nl NED,DF,Köln,de Bundesliga,21,2004.0,7.6,0,0,0,,0.0,0.0,,,0,0,Matches
624,Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,24,2001.0,21.6,0,14,4,28.6,0.65,0.19,0.0,0.0,0,0,Matches
625,Branco van den Boomen,nl NED,MF,Angers,fr Ligue 1,30,1995.0,4.0,0,8,2,25.0,2.01,0.5,0.0,0.0,0,0,Matches
626,Leander Dendoncker,be BEL,MF,Oviedo,es La Liga,30,1995.0,14.8,1,9,4,44.4,0.61,0.27,0.11,0.25,0,0,Matches
627,Daniel Denoon,ch SUI,DF,Pisa,it Serie A,22,2004.0,1.4,0,0,0,,0.0,0.0,,,0,0,Matches
628,Nelson Deossa,co COL,MF,Real Betis,es La Liga,26,2000.0,6.0,0,15,0,0.0,2.49,0.0,0.0,,0,0,Matches
629,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,29,1996.0,4.0,0,0,0,,0.0,0.0,,,0,0,Matches
630,Bahmed Deuff,mr MTN,MF,Nantes,fr Ligue 1,19,2006.0,2.6,0,6,2,33.3,2.33,0.78,0.0,0.0,0,0,Matches
631,Justin Devenny,nir NIR,"MF,FW",Crystal Palace,eng Premier League,22,2003.0,6.7,1,13,4,30.8,1.94,0.6,0.0,0.0,1,1,Matches
632,Tidiane Devernois,fr FRA,MF,Auxerre,fr Ligue 1,18,2007.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
633,Kiernan Dewsbury-Hall,eng ENG,MF,Everton,eng Premier League,27,1998.0,17.3,5,22,7,31.8,1.27,0.4,0.23,0.71,0,0,Matches
634,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,28,1997.0,23.0,0,0,0,,0.0,0.0,,,0,0,Matches
635,Giovanni Di Lorenzo,it ITA,"DF,MF",Napoli,it Serie A,32,1993.0,22.3,1,23,8,34.8,1.03,0.36,0.04,0.13,0,0,Matches
636,Alessandro Di Pardo,it ITA,"DF,MF",Cagliari,it Serie A,26,1999.0,0.6,0,1,0,0.0,1.67,0.0,0.0,,0,0,Matches
637,Boulaye Dia,sn SEN,"FW,MF",Lazio,it Serie A,29,1996.0,9.6,1,10,6,60.0,1.04,0.62,0.1,0.17,0,0,Matches
638,Bambo Diaby,sn SEN,DF,Elche,es La Liga,28,1997.0,1.1,0,0,0,,0.0,0.0,,,0,0,Matches
639,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,29,1996.0,6.0,1,4,3,75.0,0.66,0.5,0.25,0.33,0,0,Matches
640,Bafodé Diakité,fr FRA,DF,Bournemouth,eng Premier League,25,2001.0,14.2,0,1,0,0.0,0.07,0.0,0.0,,0,0,Matches
641,Amad Diallo,ci CIV,MF,Manchester Utd,eng Premier League,23,2002.0,18.3,2,35,12,34.3,1.91,0.65,0.06,0.17,0,0,Matches
642,Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,30,1995.0,15.2,4,28,11,39.3,1.84,0.72,0.14,0.36,0,1,Matches
643,Zoumana Diallo,fr FRA,FW,Nice,fr Ligue 1,21,2005.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
644,Grady Diangana,cd COD,"MF,FW",Elche,es La Liga,27,1998.0,6.7,1,11,1,9.1,1.63,0.15,0.09,1.0,0,0,Matches
645,Assane Diao,sn SEN,MF,Como,it Serie A,20,2005.0,3.5,0,6,1,16.7,1.72,0.29,0.0,0.0,0,0,Matches
646,Soriba Diaoune,fr FRA,MF,Lille,fr Ligue 1,18,2007.0,1.8,1,10,4,40.0,5.45,2.18,0.1,0.25,0,0,Matches
647,Habib Diarra,sn SEN,MF,Sunderland,eng Premier League,22,2004.0,8.3,1,11,3,27.3,1.33,0.36,0.09,0.33,0,0,Matches
648,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,25,2000.0,2.4,0,0,0,,0.0,0.0,,,0,0,Matches
649,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,28,1997.0,20.8,2,9,4,44.4,0.43,0.19,0.22,0.5,0,0,Matches
650,Krépin Diatta,sn SEN,"MF,DF",Monaco,fr Ligue 1,26,1999.0,9.4,0,5,1,20.0,0.53,0.11,0.0,0.0,0,0,Matches
651,Mory Diaw,sn SEN,GK,Le Havre,fr Ligue 1,32,1993.0,18.5,0,0,0,,0.0,0.0,,,0,0,Matches
652,Brahim Díaz,ma MAR,"MF,FW",Real Madrid,es La Liga,26,1999.0,5.2,0,7,2,28.6,1.34,0.38,0.0,0.0,0,0,Matches
653,Daniel Díaz,es ESP,FW,Real Sociedad,es La Liga,19,2006.0,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
654,Junior Diaz,ci CIV,DF,Brest,fr Ligue 1,22,2003.0,10.4,0,4,0,0.0,0.38,0.0,0.0,,0,0,Matches
655,Luis Díaz,co COL,MF,Bayern Munich,de Bundesliga,29,1997.0,20.4,13,64,31,48.4,3.14,1.52,0.2,0.42,0,0,Matches
656,Pedro Díaz,es ESP,"MF,FW",Rayo Vallecano,es La Liga,27,1998.0,12.7,0,25,4,16.0,1.96,0.31,0.0,0.0,0,0,Matches
657,Tyler Dibling,eng ENG,MF,Everton,eng Premier League,19,2006.0,4.0,0,4,0,0.0,1.01,0.0,0.0,,0,0,Matches
658,Nouha Dicko,ml MLI,"FW,MF",Paris FC,fr Ligue 1,33,1992.0,0.8,1,4,2,50.0,5.0,2.5,0.25,0.5,0,0,Matches
659,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,25,2000.0,5.7,4,23,11,47.8,4.0,1.91,0.13,0.27,1,1,Matches
660,Eric Dier,eng ENG,DF,Monaco,fr Ligue 1,32,1994.0,7.5,1,3,2,66.7,0.4,0.27,0.33,0.5,0,0,Matches
661,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,32,1993.0,14.6,0,10,5,50.0,0.68,0.34,0.0,0.0,0,0,Matches
662,Kevin Diks,id IDN,DF,Gladbach,de Bundesliga,29,1996.0,18.7,3,14,8,57.1,0.75,0.43,0.0,0.0,3,3,Matches
663,Federico Dimarco,it ITA,MF,Inter,it Serie A,28,1997.0,21.1,5,48,17,35.4,2.28,0.81,0.1,0.29,0,0,Matches
664,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,32,1993.0,7.0,0,0,0,,0.0,0.0,,,0,0,Matches
665,Junior Dina Ebimbe,cm CMR,"MF,FW",Brest,fr Ligue 1,25,2000.0,6.1,2,15,5,33.3,2.45,0.82,0.13,0.4,0,0,Matches
666,Eren Dinkçi,de GER,"MF,FW",Heidenheim,de Bundesliga,24,2001.0,3.9,1,10,3,30.0,2.58,0.77,0.1,0.33,0,0,Matches
667,Eren Dinkçi,de GER,MF,Freiburg,de Bundesliga,24,2001.0,2.8,0,4,0,0.0,1.45,0.0,0.0,,0,0,Matches
668,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,24,2001.0,12.7,1,4,1,25.0,0.32,0.08,0.25,1.0,0,0,Matches
669,Yan Diomandé,ci CIV,"FW,MF",RB Leipzig,de Bundesliga,19,2006.0,17.1,8,36,19,52.8,2.11,1.11,0.22,0.42,0,0,Matches
670,Issa Diop,fr FRA,DF,Fulham,eng Premier League,29,1997.0,4.6,0,1,0,0.0,0.22,0.0,0.0,,0,0,Matches
671,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,20,2005.0,0.1,0,1,0,0.0,7.5,0.0,0.0,,0,0,Matches
672,Sofiane Diop,ma MAR,"MF,FW",Nice,fr Ligue 1,25,2000.0,16.3,7,42,13,31.0,2.58,0.8,0.12,0.38,2,2,Matches
673,Andy Diouf,fr FRA,MF,Inter,it Serie A,22,2003.0,2.4,0,3,2,66.7,1.27,0.85,0.0,0.0,0,0,Matches
674,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,22,2003.0,1.0,0,3,1,33.3,3.0,1.0,0.0,0.0,0,0,Matches
675,El Hadji Malick Diouf,sn SEN,"DF,MF",West Ham United,eng Premier League,21,2004.0,19.3,0,12,2,16.7,0.62,0.1,0.0,0.0,0,0,Matches
676,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,26,1999.0,16.0,0,0,0,,0.0,0.0,,,0,0,Matches
677,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,28,1997.0,2.4,0,4,1,25.0,1.67,0.42,0.0,0.0,0,0,Matches
678,Axel Disasi,fr FRA,DF,West Ham United,eng Premier League,27,1998.0,3.0,0,3,2,66.7,1.0,0.67,0.0,0.0,0,0,Matches
679,Matías Dituro,ar ARG,GK,Elche,es La Liga,38,1987.0,9.0,0,0,0,,0.0,0.0,,,0,0,Matches
680,Djené,tg TOG,"DF,MF",Getafe,es La Liga,34,1991.0,19.8,0,4,0,0.0,0.2,0.0,0.0,,0,0,Matches
681,Harouna Djibrin,cm CMR,MF,Angers,fr Ligue 1,19,2006.0,3.1,2,6,3,50.0,1.91,0.95,0.33,0.67,0,0,Matches
682,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,33,1993.0,19.5,0,10,1,10.0,0.51,0.05,0.0,0.0,0,0,Matches
683,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,34,1992.0,25.0,0,0,0,,0.0,0.0,,,0,0,Matches
684,Henrick Do Marcolino,fr FRA,FW,Rennes,fr Ligue 1,19,2006.0,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
685,Ritsu Doan,jp JPN,MF,Eintracht Frankfurt,de Bundesliga,27,1998.0,20.7,4,30,11,36.7,1.45,0.53,0.13,0.36,0,0,Matches
686,Dodô,br BRA,"MF,DF",Fiorentina,it Serie A,27,1998.0,24.0,0,17,1,5.9,0.71,0.04,0.0,0.0,0,0,Matches
687,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,27,1998.0,23.0,4,31,5,16.1,1.35,0.22,0.13,0.8,0,0,Matches
688,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,34,1992.0,7.1,0,3,0,0.0,0.42,0.0,0.0,,0,0,Matches
689,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,23,2002.0,19.1,0,9,3,33.3,0.47,0.16,0.0,0.0,0,0,Matches
690,Jeremy Doku,be BEL,"MF,FW",Manchester City,eng Premier League,23,2002.0,13.2,1,20,8,40.0,1.52,0.61,0.05,0.13,0,0,Matches
691,Tyrhys Dolan,eng ENG,MF,Espanyol,es La Liga,24,2001.0,17.5,1,23,7,30.4,1.31,0.4,0.04,0.14,0,0,Matches
692,Marc Domenech,es ESP,MF,Mallorca,es La Liga,20,2006.0,2.4,0,3,0,0.0,1.26,0.0,0.0,,0,0,Matches
693,Benjamín Domínguez,ar ARG,MF,Bologna,it Serie A,22,2003.0,4.9,0,8,1,12.5,1.64,0.21,0.0,0.0,0,0,Matches
694,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,25,2001.0,4.8,0,1,0,0.0,0.21,0.0,0.0,,0,0,Matches
695,Nicolás Domínguez,ar ARG,MF,Nottingham Forest,eng Premier League,27,1998.0,9.2,1,15,4,26.7,1.63,0.44,0.07,0.25,0,0,Matches
